USA		Japan	United Kingdom	France	Italy	Canada	Korea	Australia	Spain	Mexico	Netherlands	Switzerland	Germany	Sweden	Belgium	Austria	Norway
Q1-1993	0.186434	1.126858	0.731817	-0.70205	-0.139465	0.63653	1.98553	0.705224	-0.932984	-0.183174	0.615913	0.043779	-0.880427	-1.155893	-0.759719	-0.239481	-0.658036
Q2-1993	0.594658	-0.633146	0.50855	0.233484	-0.241254	0.909762	2.676775	0.539265	-0.006775	0.522079	0.249896	0.773674	0.050398	0.613034	1.010258	0.570549	1.736
Q3-1993	0.487663	-0.717862	0.8044	0.306313	-0.157709	0.954966	1.636846	0.117347	1.203187	0.963428	0.817258	0.220969	0.705197	1.277648	0.316448	1.019557	1.992762
Q4-1993	1.334952	0.630002	0.681545	0.260781	0.733131	0.430076	2.050209	1.842657	0.376846	1.260196	-0.620387	0.480108	-0.062522	-0.647764	0.952397	0.702701	3.557944
Q1-1994	0.980441	0.828265	1.202605	0.468402	0.761669	1.471458	2.853203	1.682868	0.827092	1.153376	1.496532	0.466317	1.223048	1.856279	0.703595	0.321516	-1.140236
Q2-1994	1.3667	-0.519593	1.160499	1.163252	0.723639	1.465433	1.77394	1.238226	0.219253	1.836136	1.150385	-0.319434	0.346104	1.151669	1.149796	0.172232	2.329007
Q3-1994	0.589705	1.273017	1.134929	0.721842	0.623469	1.277498	1.356247	0.759088	0.793995	0.950984	0.758168	0.690416	0.751416	0.969442	0.279731	0.906741	-1.358615
Q4-1994	1.135482	-0.473698	0.568303	0.743957	0.938947	0.725584	4.076456	0.940997	0.374223	1.093334	0.946898	0.337664	1.320454	1.44624	1.682112	1.350074	3.95207
Q1-1995	0.341805	1.018812	0.335146	0.498621	1.255575	0.922451	2.213363	0.027363	1.068734	-5.798793	0.680303	-0.366365	-0.455553	1.41826	-0.208907	0.83618	-0.781196
Q2-1995	0.349404	1.236435	0.36097	0.524408	0.070151	0.03402	2.037632	0.347602	0.687617	-4.738211	0.78455	-0.087492	0.872837	0.530549	0.479539	0.424044	0.872568
Q3-1995	0.856046	1.113825	0.983598	0.05753	0.444806	0.130688	1.817894	2.253703	0.475787	1.848652	0.785696	0.860193	0.336488	0.356749	0.738834	0.226813	2.356447
Q4-1995	0.709919	0.22554	0.286344	0.130343	0.828153	0.40545	1.775852	0.091471	0.704403	1.81897	0.712376	0.090034	-0.047904	1.333284	0.366017	0.344772	1.233637
Q1-1996	0.656	0.956535	0.908638	0.710889	0.433398	0.062153	2.0672	1.657367	0.64537	2.669523	0.421705	0.311512	-1.000537	0.365459	-0.200919	0.741301	1.510366
Q2-1996	1.745999	1.127242	0.315239	0.075851	-0.521053	0.696088	1.824304	0.697945	0.636244	1.440145	1.116948	-0.331939	1.428227	-0.745868	0.762548	0.778173	-0.137127
Q3-1996	0.925021	-0.030918	0.677716	0.595517	0.225747	0.877333	1.684621	0.849674	0.974216	1.679767	1.382874	-0.171432	0.608592	0.478031	0.500869	0.181376	3.332486
